epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
0,20.5767,0.39,0.39,1.17,0.030000,93.3,1.6
1,21.4674,1.17,0.78,0.00,0.030000,85.3,3.0
2,20.9414,0.78,0.39,0.39,0.030000,82.2,4.4
3,20.6806,1.17,1.17,0.39,0.030000,80.8,5.7
4,20.5864,0.39,1.17,1.17,0.030000,81.3,7.1
5,20.5908,0.00,1.17,0.78,0.030000,80.8,8.4
6,20.5978,0.39,1.17,0.39,0.030000,80.3,9.7
7,20.5763,1.56,2.34,0.00,0.030000,79.7,11.1
8,20.4912,2.73,1.56,1.56,0.030000,80.3,12.4


9,20.5042,1.17,2.34,2.34,0.030000,79.6,13.7
10,20.4463,2.73,1.17,1.17,0.030000,79.9,15.1
11,20.4764,0.78,0.78,0.39,0.030000,80.1,16.4
12,20.4483,0.78,1.17,1.17,0.030000,79.7,17.7
13,20.4166,1.17,0.39,0.00,0.030000,80.9,19.1
14,20.4081,0.39,0.78,1.56,0.030000,79.9,20.4
15,20.3970,0.78,1.95,2.34,0.030000,83.4,21.8
16,20.3413,1.17,1.56,1.17,0.030000,80.3,23.2
17,20.3102,2.34,1.95,0.39,0.030000,84.2,24.6
18,20.3477,2.34,0.78,1.95,0.030000,83.9,26.0
19,20.3385,1.95,1.56,3.91,0.030000,82.2,27.3
20,20.2239,1.17,3.12,1.56,0.030000,79.9,28.7
21,20.1868,1.56,1.56,1.56,0.030000,84.7,30.1
22,20.1793,1.56,2.73,1.95,0.030000,84.2,31.5
23,20.1571,1.17,2.73,1.56,0.030000,79.9,32.8
24,20.1100,2.73,1.56,2.73,0.030000,80.0,34.2
25,20.1381,1.56,1.56,0.78,0.030000,82.6,35.5
26,20.0977,1.17,2.73,1.95,0.030000,81.7,36.9
27,20.0507,1.17,1.17,1.17,0.030000,80.0,38.2
28,19.9986,1.95,2.34,3.52,0.030000,79.9,39.6
29,20.0093,1.56,3.12,2.73,0.030000,80.7,40.9
30,19.9526,1.95,1.56,3.52,0.030000,85.9,42.3
31,19.9342,1.95,3.12,2.73,0.030000,80.5,43.7
32,19.9443,2.73,2.73,1.95,0.030000,79.8,45.0
33,19.8540,1.17,0.78,1.95,0.030000,79.2,46.3
34,19.8383,1.95,2.34,1.17,0.030000,80.2,47.7
35,19.7407,0.78,2.73,2.73,0.030000,80.6,49.0
36,19.8114,1.95,2.34,1.95,0.030000,80.1,50.4
37,19.7408,1.17,1.95,3.12,0.030000,79.7,51.7
38,19.6984,0.78,1.95,2.73,0.030000,79.8,53.0
39,19.6750,1.17,1.95,2.34,0.030000,80.5,54.4
40,19.6482,3.91,2.34,1.56,0.030000,81.1,55.7
41,19.6394,2.34,1.17,3.91,0.030000,80.7,57.1
42,19.5536,1.95,2.34,2.34,0.030000,80.2,58.4
43,19.6161,0.78,3.52,3.52,0.030000,80.6,59.7
44,19.5256,1.95,1.56,2.34,0.030000,79.7,61.1
45,19.5342,1.56,2.34,2.34,0.030000,82.4,62.4
46,19.5379,0.39,1.95,3.91,0.030000,79.3,63.8
47,19.4593,1.56,1.95,3.52,0.030000,79.9,65.1
48,19.4446,0.39,3.52,3.12,0.030000,85.4,66.5
49,19.3610,1.17,4.69,2.34,0.030000,79.7,67.9
50,19.3388,2.73,2.34,1.95,0.030000,79.2,69.2
51,19.4187,1.56,2.34,3.52,0.030000,80.1,70.5
52,19.4013,3.12,4.30,2.73,0.030000,79.7,71.9
53,19.3227,0.39,1.17,2.34,0.030000,79.4,73.2
54,19.3076,0.78,3.12,2.73,0.030000,81.9,74.5
55,19.2449,2.34,1.95,1.95,0.030000,79.7,75.9
56,19.2893,0.78,3.91,1.17,0.030000,79.0,77.2
57,19.2207,3.12,4.69,5.47,0.030000,81.6,78.6
58,19.1804,1.56,4.69,3.91,0.030000,79.2,79.9
59,19.1854,1.95,3.91,5.08,0.030000,79.0,81.2
60,19.1755,2.73,2.34,2.73,0.030000,79.0,82.5
61,19.0913,2.34,4.30,5.86,0.030000,79.5,83.8
62,19.1441,2.34,5.47,2.34,0.030000,79.4,85.2
63,19.0819,1.56,3.52,2.73,0.030000,79.8,86.5
64,19.0939,3.12,3.91,3.91,0.030000,80.7,87.8
65,19.0560,1.17,4.30,3.12,0.030000,80.9,89.2
66,18.9993,1.95,4.30,3.12,0.030000,81.3,90.5
67,19.0407,1.95,3.91,1.95,0.030000,80.6,91.9
68,18.9590,2.34,5.08,3.52,0.030000,80.2,93.2
69,18.9819,0.39,6.64,5.47,0.030000,79.1,94.6
70,18.9505,3.12,3.12,3.52,0.030000,79.7,95.9
71,18.9574,3.12,3.91,4.30,0.030000,80.3,97.2
72,18.8988,2.73,5.47,2.73,0.030000,80.6,98.6
73,18.8829,4.30,4.69,3.91,0.030000,79.5,99.9
74,18.8607,2.34,4.30,5.08,0.030000,79.0,101.2
75,18.7675,1.95,2.73,5.08,0.030000,78.7,102.5
76,18.7423,2.73,5.08,2.73,0.030000,78.6,103.8
77,18.7331,1.95,5.47,4.69,0.030000,79.6,105.2
78,18.7619,3.91,4.30,3.52,0.030000,78.8,106.5
79,18.7520,3.91,7.42,2.34,0.030000,76.9,107.8
80,18.7572,1.17,2.73,2.34,0.030000,78.4,109.1
81,18.7231,2.34,3.52,3.12,0.030000,76.6,110.3
82,18.6968,2.73,5.47,3.52,0.030000,79.7,111.7
83,18.6335,5.08,6.25,2.34,0.030000,76.9,113.0
84,18.6145,3.91,4.69,3.12,0.030000,80.1,114.3
85,18.5924,1.95,5.08,3.52,0.030000,78.5,115.6
86,18.5582,2.34,3.52,5.08,0.030000,77.5,116.9
87,18.4564,2.34,5.08,3.12,0.030000,78.2,118.2
88,18.5622,3.12,6.64,4.69,0.030000,77.6,119.5
89,18.4866,2.34,4.69,5.08,0.030000,77.8,120.8
90,18.5330,1.95,6.25,1.17,0.030000,76.6,122.1
91,18.3409,3.12,5.86,4.30,0.030000,78.7,123.4
92,18.4309,4.30,6.25,2.73,0.030000,78.0,124.7
93,18.3536,2.34,5.86,3.12,0.030000,78.1,126.0
94,18.3618,2.73,7.03,6.25,0.030000,77.8,127.3
95,18.3104,3.12,7.42,3.91,0.030000,81.9,128.7
96,18.2743,2.73,6.64,6.25,0.030000,84.1,130.1
97,18.2673,1.56,8.98,5.47,0.030000,79.3,131.4
98,18.2635,1.95,8.20,4.30,0.030000,79.6,132.7
99,18.3141,2.34,5.86,3.12,0.030000,80.2,134.1
100,18.1793,3.52,7.42,3.52,0.030000,81.9,135.4
101,18.1448,2.73,5.86,3.91,0.030000,82.6,136.8
102,18.1703,2.34,6.25,2.73,0.030000,78.6,138.1
103,18.0673,1.17,7.81,7.03,0.030000,80.1,139.5
104,18.0792,2.34,5.86,4.69,0.030000,79.2,140.8
105,18.0199,1.95,5.47,6.64,0.030000,79.3,142.1
106,17.9777,1.95,6.64,6.25,0.030000,79.1,143.4
107,17.9544,2.34,6.64,2.73,0.030000,79.6,144.7
108,18.0035,3.12,8.59,6.64,0.030000,79.8,146.1
109,17.9217,2.73,5.47,7.03,0.030000,80.0,147.4
110,17.9235,3.52,5.47,5.86,0.030000,79.9,148.7
111,17.8654,2.73,6.64,5.08,0.030000,80.4,150.1
112,17.8875,3.12,8.59,3.91,0.030000,79.2,151.4
113,17.7689,2.34,7.03,2.73,0.030000,80.0,152.7
114,17.8020,1.56,8.20,5.08,0.030000,80.3,154.1
115,17.7910,3.52,8.59,5.08,0.030000,80.3,155.4
116,17.7222,1.56,9.77,5.08,0.030000,81.5,156.8
117,17.7990,1.95,10.16,5.47,0.030000,80.2,158.1
118,17.6989,3.12,9.38,6.64,0.030000,80.9,159.5
119,17.6371,3.91,7.03,4.69,0.030000,82.8,160.9
120,17.6219,3.12,8.59,7.03,0.030000,80.1,162.2
121,17.5820,3.91,10.16,4.30,0.030000,81.5,163.5
122,17.6463,4.30,10.55,8.20,0.030000,80.5,164.9
123,17.5513,3.52,6.64,5.47,0.030000,80.1,166.2
124,17.5242,3.12,9.38,4.30,0.030000,80.2,167.6
125,17.5247,4.30,8.59,7.42,0.030000,79.1,168.9
126,17.4806,3.91,12.50,5.08,0.030000,86.2,170.3
127,17.4896,3.12,8.98,6.25,0.030000,80.9,171.7
128,17.3834,4.30,16.02,7.03,0.030000,79.4,173.0
129,17.3859,4.30,10.94,5.86,0.030000,79.7,174.3
130,17.4369,4.30,10.55,7.42,0.030000,79.4,175.7
131,17.3214,3.91,11.33,8.59,0.030000,80.1,177.0
132,17.3838,2.73,9.77,5.08,0.030000,78.9,178.3
133,17.2857,3.52,10.16,6.64,0.030000,79.5,179.6
134,17.3295,2.73,10.55,3.52,0.030000,79.5,181.0
135,17.3785,4.30,8.20,6.64,0.030000,79.6,182.3
136,17.2471,4.30,12.89,7.03,0.030000,79.9,183.6
137,17.2431,2.73,12.89,7.03,0.030000,82.1,185.0
138,17.1338,5.47,8.98,7.03,0.030000,79.9,186.3
139,17.1839,0.78,9.77,7.03,0.030000,79.6,187.7
140,17.1666,3.12,9.38,4.30,0.030000,78.4,189.0
141,17.1888,3.52,8.98,5.86,0.030000,79.2,190.3
142,17.1704,0.78,8.20,7.03,0.030000,79.1,191.6
143,17.0575,1.56,9.38,7.81,0.030000,79.7,192.9
144,17.0148,3.52,12.11,6.25,0.030000,84.2,194.3
145,17.0671,3.52,12.11,7.42,0.030000,86.8,195.8
146,16.9720,3.12,11.72,8.98,0.030000,82.4,197.2
147,16.9991,4.30,6.64,7.42,0.030000,82.8,198.5
148,16.9473,4.30,9.38,7.81,0.030000,82.7,199.9
149,16.9978,3.12,11.33,5.08,0.030000,82.4,201.3
150,16.9535,4.30,12.50,6.64,0.030000,82.1,202.7
151,16.8093,7.03,7.03,9.38,0.030000,82.1,204.0
152,16.7963,3.12,8.59,4.69,0.030000,80.4,205.4
153,16.7874,5.08,14.45,6.25,0.030000,84.3,206.8
154,16.8548,3.52,11.33,7.81,0.030000,80.7,208.1
155,16.7437,3.91,10.55,8.20,0.030000,82.4,209.5
156,16.7431,3.52,9.38,7.03,0.030000,81.4,210.9
157,16.6526,4.30,10.55,9.77,0.030000,79.6,212.2
158,16.6983,3.12,13.67,6.25,0.030000,80.9,213.5
159,16.7753,5.47,13.67,5.86,0.030000,80.9,214.9
160,16.6402,3.91,12.11,6.64,0.030000,81.0,216.2
161,16.6603,4.30,8.98,9.38,0.030000,81.8,217.6
162,16.6626,3.91,10.16,8.20,0.030000,80.7,219.0
163,16.5725,2.34,15.23,11.72,0.030000,82.4,220.3
164,16.6078,7.42,10.55,5.86,0.030000,82.0,221.7
165,16.6103,5.08,10.94,8.98,0.030000,79.9,223.0
166,16.5411,4.30,13.67,8.59,0.030000,80.9,224.4
167,16.4557,5.47,12.11,7.42,0.030000,80.9,225.7
168,16.4500,3.91,8.98,5.86,0.030000,79.1,227.1
169,16.4687,5.08,13.67,8.59,0.030000,78.5,228.4
170,16.4713,3.91,11.33,11.33,0.030000,78.4,229.7
171,16.3272,6.25,12.11,9.77,0.030000,80.1,231.0
172,16.4266,5.47,13.28,7.81,0.030000,80.7,232.4
173,16.3500,6.25,17.19,6.64,0.030000,80.6,233.7
174,16.3606,5.86,15.23,8.59,0.030000,79.1,235.0
175,16.4195,2.73,10.16,12.11,0.030000,78.8,236.3
176,16.2422,5.08,12.89,6.25,0.030000,78.9,237.7
177,16.2510,6.25,14.45,6.64,0.030000,79.6,239.0
178,16.2693,4.69,12.89,14.06,0.030000,79.5,240.3
179,16.1558,3.12,12.89,13.28,0.030000,79.3,241.6
180,16.2639,5.47,17.58,7.42,0.030000,81.0,243.0
181,16.2102,4.30,16.41,11.33,0.030000,80.8,244.3
182,16.1674,5.47,13.28,8.20,0.030000,79.7,245.7
183,16.1827,5.08,13.67,9.77,0.030000,80.6,247.0
184,16.0532,3.12,17.58,10.16,0.030000,82.5,248.4
185,16.1847,3.12,16.80,8.59,0.030000,79.3,249.7
186,16.1017,4.30,15.23,8.98,0.030000,79.3,251.0
187,16.1698,4.30,17.97,9.77,0.030000,78.3,252.3
188,16.1412,3.12,17.58,7.81,0.030000,79.0,253.7
189,16.0314,5.08,14.84,10.16,0.030000,82.6,255.0
