epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
0,7.2163,2.34,0.00,0.00,0.030000,266.6,4.4
1,7.1607,0.78,0.00,0.00,0.030000,226.3,8.2
2,7.0795,2.73,0.00,0.00,0.030000,221.4,11.9
3,7.0379,2.34,0.00,0.00,0.030000,217.5,15.5
4,6.9820,3.12,0.00,0.00,0.030000,217.7,19.2
5,6.9247,3.52,0.00,0.00,0.030000,218.4,22.8
6,6.8910,3.52,0.00,0.00,0.030000,217.4,26.4
7,6.8327,3.91,0.00,0.00,0.030000,220.2,30.1
8,6.7750,1.56,0.00,0.00,0.030000,211.2,33.6
9,6.7082,2.34,0.00,0.00,0.030000,211.2,37.1
10,6.6314,1.17,0.00,0.00,0.030000,211.0,40.7
11,6.5472,1.95,0.00,0.00,0.030000,211.3,44.2
12,6.4633,1.56,0.00,0.00,0.030000,212.1,47.7
13,6.3859,3.12,0.00,0.00,0.030000,206.4,51.2
14,6.2904,3.91,0.00,0.00,0.030000,211.9,54.7
15,6.2035,2.73,0.00,0.00,0.030000,206.7,58.1
16,6.1098,5.08,0.00,0.00,0.030000,209.4,61.6
17,6.0169,3.52,0.00,0.00,0.030000,217.5,65.3
18,5.9334,6.25,0.00,0.00,0.030000,205.9,68.7
19,5.8261,3.52,0.00,0.00,0.030000,219.2,72.3
20,5.7275,4.30,0.00,0.00,0.030000,210.1,75.8
21,5.6328,5.47,0.00,0.00,0.030000,211.6,79.4
22,5.5543,6.25,0.00,0.00,0.030000,219.7,83.0
23,5.4652,8.59,0.00,0.00,0.030000,214.6,86.6
24,5.3815,7.81,0.00,0.00,0.030000,211.9,90.1
25,5.3116,5.47,0.00,0.00,0.030000,214.6,93.7
26,5.1899,8.98,0.00,0.00,0.030000,216.3,97.3
27,5.1184,8.98,0.00,0.00,0.030000,218.2,101.0
28,5.0596,8.20,0.00,0.00,0.030000,215.2,104.6
29,4.9927,6.64,0.00,0.00,0.030000,213.1,108.1
30,4.8898,11.33,0.00,0.00,0.030000,208.8,111.6
31,4.8160,14.84,0.00,0.00,0.030000,214.3,115.2
32,4.7666,11.72,0.00,0.00,0.030000,213.2,118.7
33,4.6923,14.06,0.00,0.00,0.030000,212.3,122.3
34,4.6428,16.80,0.00,0.00,0.030000,215.1,125.8
35,4.5641,14.06,0.00,0.00,0.030000,210.4,129.4
36,4.5181,17.97,0.00,0.00,0.030000,209.8,132.8
