epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
0,18.9872,0.00,0.00,0.39,0.030000,48.0,0.8
1,22.3484,0.00,0.00,1.56,0.030000,48.3,1.6
2,23.0777,0.39,0.78,0.78,0.030000,45.3,2.4
3,22.9168,0.00,1.17,0.39,0.030000,46.8,3.1
4,22.7518,0.00,0.78,0.00,0.030000,49.0,4.0
5,22.5256,0.00,1.17,0.39,0.030000,45.0,4.7
6,22.4318,0.39,1.17,0.39,0.030000,44.7,5.5
7,22.3557,0.00,0.00,1.17,0.030000,43.9,6.2
8,22.3042,0.00,0.78,1.56,0.030000,44.6,6.9
9,22.2055,0.00,0.39,1.17,0.030000,43.9,7.7
10,22.0685,0.39,0.39,1.56,0.030000,44.0,8.4
11,22.0081,1.17,1.95,0.78,0.030000,45.2,9.2
12,21.9570,0.78,0.78,2.34,0.030000,42.7,9.9
13,21.9540,1.56,1.17,1.17,0.030000,43.4,10.6
14,21.8686,0.39,1.56,0.78,0.030000,44.9,11.4
15,21.8263,3.12,0.00,1.56,0.030000,42.4,12.1
16,21.7586,1.95,0.78,1.56,0.030000,44.6,12.8
17,21.6812,0.78,1.17,4.69,0.030000,43.8,13.5
18,21.6981,0.78,0.78,0.00,0.030000,42.9,14.3
19,21.7091,1.17,0.39,1.95,0.030000,44.6,15.0
20,21.5821,0.78,2.73,1.95,0.030000,44.1,15.7
21,21.5915,0.78,0.00,2.34,0.030000,44.9,16.5
22,21.4766,1.56,2.34,0.39,0.030000,44.7,17.2
23,21.4439,0.39,0.78,2.34,0.030000,45.7,18.0
24,21.5288,1.95,1.17,1.17,0.030000,45.1,18.8
25,21.4981,2.73,1.17,1.56,0.030000,42.7,19.5
26,21.4279,1.95,1.17,2.73,0.030000,43.7,20.2
27,21.4202,1.56,2.34,1.95,0.030000,43.2,20.9
28,21.4462,0.78,0.78,0.78,0.030000,43.7,21.6
29,21.3820,1.56,1.17,2.34,0.030000,43.2,22.4
30,21.3775,1.17,0.78,1.17,0.030000,42.6,23.1
31,21.3975,1.56,0.39,0.78,0.030000,43.5,23.8
32,21.2680,1.17,3.12,0.78,0.030000,43.0,24.5
33,21.2874,2.73,0.39,0.78,0.030000,42.4,25.2
34,21.2431,1.95,0.00,2.73,0.030000,42.7,25.9
35,21.3162,1.17,1.17,2.34,0.030000,45.4,26.7
36,21.2171,2.34,2.73,2.34,0.030000,43.2,27.4
37,21.3531,1.56,0.78,0.39,0.030000,43.4,28.2
38,21.2601,0.00,1.17,2.73,0.030000,44.9,28.9
39,21.2370,1.56,2.34,1.56,0.030000,43.7,29.6
40,21.2144,2.34,1.95,0.00,0.030000,42.9,30.3
41,21.3017,1.56,0.78,1.56,0.030000,46.4,31.1
42,21.2215,3.12,2.34,2.73,0.030000,44.4,31.9
43,21.2119,0.39,0.78,1.56,0.030000,42.9,32.6
44,21.2206,1.17,1.17,1.95,0.030000,45.0,33.3
45,21.2855,2.34,2.34,2.73,0.030000,42.9,34.0
46,21.2153,1.17,0.39,1.95,0.030000,43.0,34.8
47,21.0624,1.56,1.95,3.12,0.030000,41.9,35.5
48,21.1335,2.73,2.73,1.56,0.030000,43.7,36.2
49,21.0694,1.95,1.17,1.56,0.030000,43.8,36.9
50,21.1097,1.95,1.56,3.52,0.030000,42.6,37.6
51,21.1470,1.56,1.17,2.73,0.030000,43.4,38.4
52,21.0880,2.34,2.73,0.39,0.030000,42.5,39.1
53,21.0240,2.34,1.56,3.12,0.030000,43.0,39.8
54,21.1211,1.95,0.78,1.95,0.030000,41.9,40.5
55,21.1143,1.56,1.95,1.95,0.030000,43.3,41.2
56,20.9222,1.17,3.12,2.34,0.030000,43.0,41.9
57,21.1261,2.73,3.91,1.56,0.030000,42.8,42.6
58,21.0226,0.39,2.34,3.52,0.030000,41.4,43.3
59,20.9664,1.95,2.34,1.95,0.030000,42.4,44.0
60,21.0634,1.56,2.34,2.34,0.030000,42.3,44.8
61,20.9544,3.12,3.12,2.34,0.030000,43.4,45.5
62,20.8825,1.17,2.34,2.73,0.030000,42.3,46.2
63,20.9250,1.17,2.73,3.52,0.030000,43.9,46.9
64,20.9481,1.56,2.34,2.73,0.030000,42.9,47.6
65,20.9130,2.34,1.95,1.95,0.030000,42.9,48.4
66,20.9188,0.00,3.91,2.73,0.030000,43.0,49.1
67,20.8203,2.34,2.73,3.12,0.030000,42.5,49.8
68,20.9346,3.12,2.34,3.12,0.030000,43.0,50.5
69,20.9375,1.56,2.34,0.00,0.030000,42.8,51.2
70,20.9094,0.39,2.34,0.78,0.030000,42.4,51.9
71,20.8397,1.17,1.56,3.91,0.030000,43.5,52.7
72,20.8068,3.12,1.56,0.78,0.030000,43.4,53.4
73,20.9314,0.78,4.69,2.34,0.030000,42.8,54.1
74,20.8351,3.52,3.52,0.78,0.030000,43.1,54.8
75,20.7938,1.95,3.12,1.95,0.030000,43.1,55.5
76,20.6327,1.95,3.52,3.12,0.030000,43.1,56.2
77,20.6541,0.78,3.52,1.17,0.030000,42.9,57.0
78,20.7429,1.17,3.12,1.56,0.030000,42.5,57.7
79,20.8242,2.34,0.78,2.73,0.030000,43.3,58.4
80,20.7196,3.91,4.69,2.34,0.030000,42.6,59.1
81,20.6706,2.34,4.69,2.34,0.030000,45.0,59.9
82,20.6971,3.52,2.73,1.95,0.030000,43.1,60.6
83,20.7302,2.34,4.30,1.56,0.030000,41.9,61.3
84,20.7094,1.95,4.69,1.17,0.030000,41.8,62.0
85,20.7331,3.12,3.52,1.95,0.030000,41.2,62.7
86,20.6045,1.56,3.91,3.91,0.030000,42.6,63.4
87,20.6252,3.52,3.12,3.12,0.030000,41.6,64.1
88,20.6357,1.95,3.12,2.34,0.030000,41.6,64.8
89,20.4549,1.17,3.12,1.95,0.030000,41.4,65.5
90,20.5159,3.12,4.69,3.12,0.030000,42.4,66.2
91,20.5968,1.17,2.73,1.17,0.030000,46.0,66.9
92,20.5849,2.34,3.12,3.91,0.030000,42.9,67.7
93,20.5005,1.95,7.03,0.39,0.030000,43.8,68.4
94,20.5769,1.95,5.08,2.34,0.030000,44.5,69.1
95,20.4960,1.17,3.91,2.34,0.030000,42.4,69.8
96,20.3642,1.56,3.91,3.12,0.030000,41.9,70.5
97,20.4967,2.34,3.91,2.73,0.030000,42.4,71.3
98,20.4285,1.95,2.73,3.91,0.030000,42.6,72.0
99,20.4981,1.56,3.52,1.56,0.030000,41.4,72.7
100,20.4882,1.56,3.12,1.56,0.030000,42.0,73.4
101,20.4396,1.17,2.73,2.34,0.030000,42.9,74.1
102,20.3806,1.56,4.69,4.69,0.030000,42.6,74.8
103,20.3621,2.73,5.08,3.12,0.030000,42.2,75.5
104,20.4042,1.56,3.91,1.95,0.030000,41.2,76.2
105,20.4191,2.34,5.86,2.73,0.030000,41.6,76.9
106,20.2617,2.34,5.08,1.95,0.030000,41.4,77.6
107,20.3311,3.91,3.52,4.69,0.030000,41.7,78.3
108,20.3313,1.95,1.56,1.95,0.030000,40.5,78.9
109,20.3911,3.52,6.64,1.17,0.030000,40.7,79.6
110,20.4072,2.34,4.30,3.52,0.030000,42.2,80.3
111,20.3252,3.91,3.52,1.95,0.030000,40.8,81.0
112,20.2337,2.73,5.08,3.52,0.030000,41.8,81.7
113,20.2742,0.78,4.69,3.12,0.030000,42.3,82.4
114,20.2419,1.95,2.34,5.86,0.030000,42.0,83.1
115,20.2662,1.95,2.73,2.73,0.030000,41.6,83.8
116,20.2960,3.12,5.08,0.78,0.030000,40.4,84.5
