epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
0,20.0388,0.78,0.39,0.39,0.030000,92.8,1.5
1,21.1875,0.78,1.56,1.56,0.030000,86.5,3.0
2,20.7461,0.78,3.12,0.78,0.030000,84.9,4.4
3,20.5634,0.78,1.95,1.17,0.030000,89.8,5.9
4,20.4174,0.78,1.17,0.39,0.030000,84.7,7.3
5,20.2032,0.39,2.34,0.78,0.030000,82.6,8.7
6,20.1241,0.39,0.78,0.39,0.030000,84.6,10.1
7,19.9964,1.56,2.34,1.95,0.030000,82.8,11.5
8,19.9707,1.17,2.34,2.34,0.030000,84.5,12.9
9,19.8874,0.78,3.52,0.78,0.030000,82.1,14.3
10,19.8092,3.12,1.95,2.34,0.030000,81.0,15.6
11,19.7672,2.73,1.56,2.34,0.030000,81.1,17.0
12,19.6935,3.12,2.73,1.17,0.030000,83.0,18.4
13,19.7029,3.91,3.52,1.17,0.030000,79.4,19.7
14,19.5870,0.78,3.12,1.95,0.030000,79.7,21.0
15,19.6876,0.39,4.69,0.78,0.030000,79.8,22.3
16,19.5131,2.34,2.73,1.17,0.030000,80.8,23.7
17,19.5788,0.78,4.30,1.95,0.030000,81.7,25.1
18,19.4950,3.12,3.12,1.95,0.030000,81.3,26.4
19,19.5442,2.34,3.91,1.95,0.030000,82.5,27.8
20,19.4891,1.56,3.52,2.73,0.030000,82.9,29.2
21,19.3909,2.73,4.30,1.95,0.030000,78.8,30.5
22,19.4121,2.34,4.69,1.95,0.030000,78.6,31.8
23,19.3752,1.95,6.25,3.52,0.030000,78.6,33.1
24,19.3217,1.17,7.03,2.73,0.030000,78.6,34.4
25,19.3285,2.73,5.86,1.56,0.030000,80.8,35.8
26,19.3249,3.12,3.52,1.56,0.030000,81.5,37.1
27,19.2629,3.12,4.30,3.52,0.030000,79.5,38.5
28,19.2525,2.73,2.34,1.56,0.030000,82.2,39.8
29,19.2562,4.69,5.08,1.95,0.030000,81.1,41.2
30,19.1458,3.52,6.25,4.69,0.030000,81.7,42.5
31,19.1821,1.56,3.91,3.52,0.030000,80.5,43.9
32,19.1362,3.91,4.30,3.12,0.030000,77.6,45.2
33,19.1413,1.56,4.30,2.34,0.030000,77.7,46.5
34,19.1225,3.52,4.30,2.34,0.030000,78.9,47.8
35,19.0555,2.34,5.86,2.73,0.030000,80.6,49.1
36,18.9990,1.56,6.64,2.34,0.030000,79.4,50.5
37,19.0206,1.95,4.69,3.12,0.030000,80.3,51.8
38,18.9534,4.30,8.98,1.56,0.030000,79.3,53.1
39,18.9970,3.12,7.03,3.91,0.030000,79.8,54.5
40,18.9537,3.12,5.47,1.17,0.030000,81.1,55.8
41,18.9304,2.34,8.98,2.73,0.030000,79.5,57.1
42,18.8649,3.12,7.81,4.69,0.030000,84.4,58.6
43,18.8641,3.91,6.64,3.12,0.030000,83.8,60.0
44,18.8153,5.08,4.69,1.95,0.030000,85.0,61.4
45,18.8080,1.56,10.55,1.56,0.030000,82.7,62.7
46,18.8075,4.69,9.38,7.03,0.030000,80.5,64.1
47,18.7141,2.34,8.59,3.91,0.030000,84.3,65.5
48,18.7265,1.95,7.81,3.91,0.030000,82.2,66.9
49,18.7344,2.73,6.64,4.69,0.030000,83.3,68.3
50,18.7721,3.91,10.16,3.12,0.030000,81.4,69.6
51,18.6155,2.73,6.64,1.95,0.030000,82.3,71.0
52,18.6993,5.86,11.33,1.95,0.030000,83.3,72.4
53,18.6948,1.95,7.42,3.12,0.030000,82.4,73.8
54,18.6112,2.34,5.08,4.69,0.030000,83.4,75.2
55,18.6713,4.30,8.59,5.08,0.030000,85.5,76.6
56,18.6226,3.12,9.38,3.12,0.030000,82.5,78.0
57,18.5570,3.52,6.64,4.30,0.030000,80.5,79.3
58,18.4487,2.73,12.89,4.69,0.030000,79.6,80.6
59,18.5186,3.12,9.38,3.12,0.030000,79.2,81.9
60,18.4219,3.52,8.59,3.52,0.030000,79.6,83.3
61,18.5891,4.69,6.25,2.73,0.030000,80.2,84.6
62,18.4894,1.95,12.11,2.73,0.030000,79.5,85.9
63,18.4122,4.30,10.94,3.52,0.030000,80.7,87.3
64,18.4223,1.56,7.81,3.52,0.030000,82.6,88.7
65,18.4063,2.34,9.77,4.69,0.030000,79.7,90.0
66,18.3782,1.95,11.33,2.34,0.030000,84.1,91.4
67,18.3225,2.34,8.59,3.12,0.030000,80.4,92.7
68,18.2450,3.91,9.77,4.30,0.030000,82.2,94.1
69,18.2479,2.34,12.11,3.52,0.030000,79.5,95.4
70,18.3067,1.56,10.55,3.12,0.030000,80.1,96.8
71,18.1737,1.95,7.81,4.69,0.030000,80.5,98.1
72,18.1959,4.30,10.16,5.08,0.030000,80.0,99.5
73,18.1757,3.91,11.33,2.73,0.030000,81.2,100.8
74,18.1611,2.34,5.86,3.91,0.030000,82.3,102.2
75,18.1872,3.52,10.16,3.12,0.030000,81.6,103.5
76,18.0216,3.52,10.55,6.25,0.030000,85.4,105.0
77,18.1073,3.12,12.50,6.64,0.030000,82.4,106.3
78,18.0527,3.12,10.16,4.69,0.030000,83.4,107.7
79,18.0723,3.52,11.72,5.47,0.030000,88.0,109.2
80,17.9731,2.34,8.59,6.25,0.030000,83.6,110.6
81,17.9965,3.52,10.55,5.08,0.030000,85.3,112.0
82,17.9724,3.91,10.94,1.56,0.030000,82.8,113.4
83,17.9221,2.34,8.59,5.08,0.030000,82.3,114.8
84,17.9870,4.30,9.77,3.91,0.030000,84.1,116.2
85,17.8941,4.69,8.20,5.47,0.030000,83.4,117.6
86,17.8837,4.30,10.94,5.86,0.030000,82.4,119.0
87,17.8559,3.52,10.94,6.25,0.030000,82.4,120.3
88,17.7369,2.34,11.33,5.08,0.030000,83.0,121.7
89,17.6967,5.08,10.16,4.30,0.030000,83.3,123.1
90,17.8005,3.91,11.33,5.86,0.030000,85.6,124.5
91,17.7071,5.08,12.50,5.86,0.030000,83.1,125.9
92,17.6252,3.52,7.03,2.73,0.030000,86.3,127.4
93,17.7313,4.69,13.67,7.03,0.030000,89.4,128.8
94,17.5990,3.12,10.16,5.47,0.030000,88.2,130.3
95,17.6571,4.69,14.45,6.64,0.030000,89.5,131.8
96,17.6291,2.73,13.28,3.12,0.030000,88.4,133.3
97,17.6093,3.91,13.67,3.12,0.030000,89.1,134.8
98,17.4897,2.34,10.55,1.95,0.030000,88.8,136.3
99,17.4189,2.34,12.89,5.47,0.030000,90.0,137.8
100,17.4810,4.30,12.50,4.69,0.030000,87.9,139.2
101,17.5116,3.52,13.67,7.03,0.030000,92.7,140.8
102,17.4673,4.30,15.62,4.69,0.030000,88.3,142.3
103,17.4177,4.30,9.77,5.47,0.030000,91.7,143.8
104,17.4213,3.12,14.06,3.12,0.030000,93.2,145.3
105,17.4233,4.30,15.23,5.08,0.030000,91.5,146.9
106,17.3154,2.34,13.67,5.08,0.030000,93.4,148.4
107,17.3249,3.12,12.50,7.03,0.030000,90.3,149.9
108,17.2250,3.12,14.06,6.25,0.030000,91.3,151.5
109,17.2470,3.91,12.11,5.08,0.030000,89.7,153.0
110,17.3106,3.91,11.33,5.08,0.030000,87.8,154.4
111,17.2575,4.30,12.50,5.47,0.030000,90.7,155.9
112,17.1582,1.95,16.80,3.52,0.030000,95.0,157.5
113,17.0956,5.47,14.06,9.38,0.030000,89.8,159.0
114,17.1474,2.73,16.02,5.08,0.030000,89.6,160.5
115,17.1183,3.91,15.23,7.81,0.030000,89.4,162.0
116,17.1052,4.30,16.02,7.03,0.030000,85.8,163.4
117,17.0411,2.34,16.80,4.69,0.030000,87.5,164.9
118,16.9846,1.17,16.02,4.69,0.030000,89.0,166.4
119,17.0298,4.30,11.33,6.25,0.030000,88.8,167.9
120,16.9178,3.12,17.97,3.91,0.030000,87.6,169.3
121,16.9122,4.30,13.28,5.86,0.030000,84.7,170.7
122,17.0597,4.69,17.19,4.30,0.030000,86.8,172.2
123,16.9940,4.69,13.67,7.42,0.030000,84.9,173.6
124,16.9370,2.34,14.84,7.81,0.030000,83.4,175.0
125,16.9011,4.30,16.02,4.30,0.030000,83.3,176.4
126,16.7022,3.52,16.41,6.64,0.030000,86.7,177.8
127,16.7625,3.12,18.36,5.08,0.030000,84.4,179.2
128,16.7836,2.34,19.53,5.47,0.030000,84.4,180.7
129,16.7733,3.52,13.67,4.30,0.030000,85.0,182.1
130,16.7352,3.91,17.19,9.77,0.030000,86.2,183.5
131,16.7659,3.91,14.06,7.42,0.030000,84.7,184.9
132,16.7536,5.47,14.84,4.69,0.030000,84.9,186.3
133,16.7523,4.69,13.28,7.81,0.030000,87.6,187.8
134,16.6004,5.47,17.97,5.86,0.030000,85.6,189.2
135,16.7181,3.52,13.67,8.59,0.030000,83.9,190.6
136,16.5896,5.86,12.50,8.98,0.030000,83.8,192.0
137,16.6330,4.30,16.41,3.52,0.030000,82.3,193.4
138,16.5088,5.86,18.75,9.38,0.030000,84.9,194.8
139,16.5180,4.69,18.75,8.20,0.030000,84.5,196.2
140,16.4559,4.69,17.97,8.59,0.030000,86.6,197.7
141,16.4466,4.69,18.75,8.20,0.030000,87.5,199.1
142,16.4256,5.08,20.70,6.64,0.030000,83.7,200.5
143,16.4352,4.30,15.23,8.20,0.030000,83.9,201.9
144,16.4227,4.69,18.75,7.81,0.030000,83.4,203.3
145,16.3158,4.69,16.80,9.38,0.030000,82.1,204.7
146,16.4422,3.91,16.80,5.86,0.030000,86.0,206.1
147,16.3846,5.08,20.31,5.47,0.030000,86.8,207.6
148,16.2283,4.30,16.02,8.59,0.030000,85.4,209.0
149,16.3902,7.42,16.80,6.64,0.030000,86.5,210.4
150,16.2364,3.52,18.36,5.47,0.030000,89.1,211.9
151,16.2988,4.69,21.09,5.08,0.030000,87.4,213.4
152,16.3191,6.64,22.27,7.03,0.030000,84.7,214.8
153,16.2723,3.12,14.45,7.42,0.030000,83.1,216.2
154,16.2220,4.69,16.80,5.08,0.030000,84.6,217.6
155,16.1214,4.69,21.88,8.59,0.030000,83.6,219.0
156,16.1554,3.52,18.36,9.38,0.030000,83.5,220.4
157,16.1998,6.25,16.80,5.47,0.030000,83.7,221.8
158,16.0797,3.12,18.75,5.86,0.030000,88.2,223.3
159,16.0313,3.12,15.62,5.86,0.030000,85.3,224.7
160,16.1052,3.91,22.27,6.25,0.030000,86.7,226.1
161,16.0909,5.08,17.19,9.77,0.030000,85.1,227.6
162,16.0128,5.47,19.92,6.64,0.030000,86.0,229.0
163,16.0818,4.69,14.45,11.72,0.030000,85.4,230.4
164,15.9365,3.91,20.31,6.64,0.030000,85.7,231.8
165,15.9781,6.64,19.92,9.77,0.030000,84.2,233.3
166,15.8670,5.08,22.27,8.98,0.030000,81.7,234.6
167,15.8980,6.64,17.58,7.81,0.030000,80.9,236.0
168,15.9406,6.25,23.83,8.98,0.030000,82.5,237.3
169,15.8559,8.98,19.14,6.64,0.030000,81.9,238.7
170,15.7978,3.12,17.58,8.59,0.030000,84.1,240.1
171,15.8317,4.30,23.83,7.42,0.030000,84.1,241.5
172,15.7282,4.30,19.92,10.16,0.030000,83.6,242.9
173,15.8123,6.25,19.53,7.81,0.030000,83.7,244.3
174,15.8116,4.30,19.53,9.77,0.030000,83.1,245.7
175,15.6867,3.91,19.53,8.59,0.030000,81.9,247.1
176,15.6613,7.81,17.97,9.77,0.030000,83.5,248.5
177,15.7514,3.91,24.22,7.81,0.030000,84.0,249.9
178,15.6776,5.08,18.36,8.98,0.030000,86.2,251.3
179,15.7031,7.03,19.92,7.42,0.030000,85.9,252.7
180,15.6497,7.42,21.09,8.20,0.030000,86.5,254.2
181,15.6705,7.42,22.66,6.64,0.030000,87.3,255.6
182,15.5425,5.08,22.27,10.16,0.030000,83.7,257.0
183,15.5705,7.81,23.83,10.55,0.030000,82.8,258.4
184,15.5078,4.30,22.27,7.81,0.030000,82.4,259.8
185,15.5219,5.86,23.83,7.42,0.030000,82.3,261.2
186,15.4897,6.25,21.88,15.23,0.030000,83.8,262.6
187,15.4307,4.69,22.27,10.55,0.030000,84.0,264.0
